headword,CEFR,lemma,pos,spanish
pay,A1,pay,VERB,pagar
payment,B2,payment,NOUN,pago
PC,A2,pc,NOUN,ordenador personal
pea,A2,pea,NOUN,guisante
peace,A1,peace,NOUN,paz
peaceful,A2,peaceful,ADJ,pacífico
peacefully,B2,peacefully,ADV,pacíficamente
peach,B2,peach,PROPN,durazno
peak,B2,peak,PROPN,cima
peanut,B1,peanut,NOUN,maní
pear,A2,pear,VERB,pera
pearl,B2,pearl,PROPN,perla
pebble,B2,pebble,ADJ,guijarro
peculiar,B1,peculiar,PROPN,peculiar
pedal,B2,pedal,NOUN,pedal
pedantic,B2,pedantic,PROPN,pedante
pedestrian,B2,pedestrian,PROPN,peatonal
pee,B2,pee,PROPN,orinar
peel,B2,peel,NOUN,cáscara
peel,B2,peel,NOUN,cáscara
peep,B2,peep,VERB,mirar furtivamente
peer,B2,peer,NOUN,par
peg,B2,peg,NOUN,clavija
pen,A1,pen,NOUN,bolígrafo
penalize/penalise,B2,penalize,VERB,penalizar / penalizar
penalty,B2,penalty,NOUN,pena
pence,A2,pence,PROPN,peniques
pencil,A1,pencil,PROPN,lápiz
penetrate,B2,penetrate,VERB,penetrar
penfriend/pen friend,A2,penfriend,NOUN,amigo por correspondencia/amigo por correspondencia
penguin,B2,penguin,PROPN,pingüino
penicillin,B2,penicillin,NOUN,penicilina
penniless,B1,penniless,NOUN,sin dinero
penny,B1,penny,NOUN,centavo
pension,B2,pension,NOUN,pensión
pentagon,B2,pentagon,PROPN,pentágono
people,A1,people,NOUN,gente
pepper,A2,pepper,NOUN,pimienta
per,B1,per,ADP,por
perceive,B2,perceive,NOUN,percibir
percent/per cent,B1,percent,NOUN,por ciento/por ciento
percentage,B2,percentage,NOUN,porcentaje
perception,B2,perception,NOUN,percepción
perfect,A2,perfect,ADJ,perfecto
perfectly,A2,perfectly,ADV,perfectamente
perform,A2,perform,VERB,llevar a cabo
performance,A2,performance,NOUN,actuación
performer,B1,performer,PROPN,ejecutante
perfume,A2,perfume,NOUN,perfume
perhaps,A2,perhaps,ADV,tal vez
period,A1,period,NOUN,período
permanence,B2,permanence,NOUN,permanencia
permanent,B1,permanent,ADJ,permanente
permanently,B1,permanently,ADV,permanentemente
permeate,B2,permeate,NOUN,impregnar
permission,A2,permission,NOUN,permiso
permit,B1,permit,NOUN,permiso
perseverance,B2,perseverance,NOUN,perserverancia
persist,B2,persist,NOUN,persistir
persistence,B2,persistence,NOUN,persistencia
persistent,B2,persistent,ADJ,persistente
person,A1,person,NOUN,persona
personal,A1,personal,ADJ,personal
personality,A2,personality,NOUN,personalidad
personally,B1,personally,ADV,personalmente
personification,B2,personification,NOUN,personificación
personify,B2,personify,VERB,personificar
personnel,B2,personnel,NOUN,personal
perspective,B2,perspective,NOUN,perspectiva
perspiration,B2,perspiration,NOUN,transpiración
persuade,B1,persuade,VERB,persuadir
persuasion,B2,persuasion,NOUN,persuasión
persuasive,B1,persuasive,ADJ,persuasivo
pessimist,B2,pessimist,NOUN,pesimista
pessimistic,B2,pessimistic,ADJ,pesimista
pet,A1,pet,NOUN,mascota
petrified,B2,petrify,VERB,petrificado
petrol,A2,petrol,NOUN,gasolina
petrol station,A2,petrol,NOUN,gasolinera
petty,B2,petty,PROPN,insignificante
pH,B2,ph,NOUN,pH
phantom,B1,phantom,NOUN,fantasma
pharmacist,B2,pharmacist,NOUN,farmacéutico
pharmacy,B1,pharmacy,NOUN,farmacia
phase,B2,phase,NOUN,fase
phenomenon,B1,phenomenon,NOUN,fenómeno
philosopher,B1,philosopher,PROPN,filósofo
philosophical,B2,philosophical,ADJ,filosófico
philosophy,B1,philosophy,NOUN,filosofía
phoenix,B1,phoenix,PROPN,fénix
phone,A1,phone,NOUN,teléfono
phone,A1,phone,NOUN,teléfono
photo,A1,photo,PROPN,foto
photocopy,B1,photocopy,NOUN,fotocopia
photograph,A2,photograph,NOUN,fotografía
photograph,B2,photograph,NOUN,fotografía
photographer,A2,photographer,NOUN,fotógrafo
photography,A2,photography,NOUN,fotografía
phrasal verb,B1,phrasal,NOUN,verbo compuesto
phrase,B1,phrase,NOUN,frase
physical,A2,physical,ADJ,físico
physically,A2,physically,ADV,físicamente
physician,B2,physician,NOUN,médico
physics,B1,physics,NOUN,física
pi,B2,pi,PROPN,pi
piano,A1,piano,NOUN,piano
pick,B1,pick,VERB,elegir
pick,A1,pick,VERB,elegir
pickle,B2,pickle,PROPN,conservar en vinagre
picky,B2,picky,ADJ,quisquilloso
picnic,A1,picnic,NOUN,picnic
picture,A1,picture,NOUN,imagen
picture,B2,picture,NOUN,imagen
picturesque,B2,picturesque,ADJ,pintoresco
pie,B1,pie,NOUN,pastel
piece,A1,piece,NOUN,pedazo
piety,B1,piety,NOUN,piedad
pig,A1,pig,NOUN,cerdo
pile,A2,pile,NOUN,montón
pilgrim,A2,pilgrim,NOUN,peregrino
pill,A2,pill,NOUN,píldora
pillow,B1,pillow,PROPN,almohada
pillowcase,B2,pillowcase,NOUN,funda de almohada
pilot,A2,pilot,NOUN,piloto
pin,B2,pin,NOUN,alfiler
pin,B1,pin,NOUN,alfiler
pine,B2,pine,PROPN,pino
pineapple,B1,pineapple,NOUN,piña
pink,A1,pink,ADJ,rosa
pink,A2,pink,ADJ,rosa
pint,B2,pint,NOUN,pinta
pipe,B1,pipe,NOUN,tubo
piracy,B2,piracy,NOUN,piratería
pirate,B2,pirate,VERB,pirata
pit,B1,pit,NOUN,fosa
pitch,B2,pitch,NOUN,paso
pitch,B2,pitch,NOUN,paso
pity,A2,pity,NOUN,lástima
pizza,A1,pizza,PROPN,pizza
place,A1,place,NOUN,lugar
place,B1,place,NOUN,lugar
plague,B2,plague,NOUN,plaga
plain,B1,plain,ADV,plano
plan,A1,plan,NOUN,plan
plan,B1,plan,NOUN,plan
plane,A1,plane,NOUN,avión
planet,A2,planet,NOUN,planeta
planning,B2,plan,VERB,planificación
plant,A2,plant,NOUN,planta
plant,B1,plant,NOUN,planta
plastic,A2,plastic,NOUN,plástico
plastic,B1,plastic,NOUN,plástico
plate,A2,plate,NOUN,lámina
platform,B1,platform,NOUN,plataforma
play,A1,play,VERB,jugar
play,A1,play,VERB,jugar
player,A1,player,NOUN,jugador
playful,A2,playful,ADJ,juguetón
playground,A2,playground,NOUN,patio de juegos
playmate,B2,playmate,PROPN,compañero de juego
playwright,B2,playwright,NOUN,dramaturgo
plead,B2,plead,VERB,alegar
pleasant,A2,pleasant,NOUN,agradable
pleasantly,B1,pleasantly,ADV,agradablemente
please,A1,please,INTJ,por favor
please,B1,please,INTJ,por favor
pleased,A2,please,VERB,complacido
pleasing,A2,please,VERB,agradable
pleasure,A1,pleasure,NOUN,placer
plenty,A2,plenty,NOUN,infinidad
plenty,B1,plenty,NOUN,infinidad
plot,B2,plot,NOUN,trama
pluck,B2,pluck,VERB,arrancar
plug,B1,plug,VERB,enchufar
plug,B2,plug,VERB,enchufar
plum,B2,plum,NOUN,ciruela
plumber,B2,plumber,PROPN,plomero
plural,A2,plural,PROPN,plural
plus,B1,plus,CCONJ,más
plus,B2,plus,CCONJ,más
plus,A2,plus,CCONJ,más
pneumonia,B2,pneumonia,NOUN,neumonía
pocket,A1,pocket,NOUN,bolsillo
pocket money,B1,pocket,NOUN,dinero de bolsillo
poem,A1,poem,PROPN,poema
poet,B1,poet,NOUN,poeta
poetry,B1,poetry,NOUN,poesía
point,A1,point,NOUN,punto
point,A2,point,NOUN,punto
point of view,B2,point,NOUN,Punto de vista
pointless,B2,pointless,ADJ,inútil
poison,B1,poison,NOUN,veneno
poison,B2,poison,NOUN,veneno
poisonous,B1,poisonous,ADJ,venenoso
polar bear,B2,polar,ADJ,oso polar
pole,B1,pole,NOUN,polo
police,A2,police,NOUN,policía
police officer,A2,police,NOUN,oficial de policia
police station,A2,police,NOUN,comisaría de policía
policeman,A2,policeman,NOUN,policía
policewoman,A2,policewoman,PROPN,mujer policía
policy,B1,policy,NOUN,política
polio,B2,polio,NOUN,polio
polish,B2,polish,NOUN,polaco
polite,A2,polite,ADJ,educado
politely,B1,politely,ADV,cortésmente
politeness,B2,politeness,NOUN,cortesía
political,A2,political,ADJ,político
politically,B2,politically,ADV,políticamente
politician,B1,politician,NOUN,político
politics,B1,politic,NOUN,política
polity,B2,polity,NOUN,gobierno
pollutant,B1,pollutant,ADJ,contaminante
pollute,A2,pollute,VERB,contaminar
pollution,A1,pollution,NOUN,contaminación
polo,B2,polo,PROPN,polo
pond,B1,pond,NOUN,estanque
ponder,B2,ponder,VERB,reflexionar
pool,A1,pool,NOUN,piscina
poor,A1,poor,ADJ,pobre
pop,A1,pop,VERB,estallido
pop,B2,pop,VERB,estallido
popcorn,B1,popcorn,VERB,Palomitas
popular,A2,popular,ADJ,popular
popularity,B2,popularity,NOUN,popularidad
popularize/popularise,B2,popularize,VERB,popularizar/popularizar
population,A2,population,NOUN,población
porch,B2,porch,NOUN,porche
pork,B1,pork,NOUN,cerdo
port,B1,port,NOUN,puerto
portion,B2,portion,NOUN,parte
portrait,A2,portrait,NOUN,retrato
pose,B2,pose,VERB,pose
posh,B2,posh,ADJ,elegante
position,A2,position,NOUN,posición
positive,B1,positive,ADJ,positivo
positively,B1,positively,ADV,afirmativamente
possess,B1,posses,NOUN,poseer
possessed,B2,possess,VERB,poseído
possession,B1,possession,NOUN,posesión
possessive,B1,possessive,ADJ,posesivo
possibility,B1,possibility,NOUN,posibilidad
possible,A2,possible,ADJ,posible
possibly,A2,possibly,ADV,probablemente
post,A1,post,VERB,correo
post,A2,post,VERB,correo
post office,A2,post,PROPN,oficina de correos
postal,B2,postal,PROPN,postal
postcard,B1,postcard,NOUN,tarjeta postal
poster,A1,poster,NOUN,póster
postman,B1,postman,PROPN,cartero
postpone,B2,postpone,VERB,posponer
pot,B1,pot,NOUN,olla
potato,A1,potato,NOUN,papa
potent,B2,potent,ADJ,potente
potential,B2,potential,NOUN,potencial
potential,B1,potential,NOUN,potencial
potentially,B2,potentially,ADV,potencialmente
pottery,B1,pottery,NOUN,cerámica
pound,B1,pound,NOUN,libra
pound,B2,pound,NOUN,libra
pour,A2,pour,VERB,derramar
poverty,B1,poverty,NOUN,pobreza
powder,B1,powder,NOUN,polvo
powder,B2,powder,NOUN,polvo
power,A2,power,NOUN,fuerza
powerful,A2,powerful,ADJ,poderoso
powerfully,B2,powerfully,ADV,poderosamente
practical,B1,practical,ADJ,práctico
practicality,B2,practicality,NOUN,sentido práctico
practically,B2,practically,ADV,prácticamente
practice,A1,practice,VERB,práctica
practice/practise,A1,practice,NOUN,practica/practica
praise,B1,praise,NOUN,elogio
praise,B2,praise,NOUN,elogio
prance,B2,prance,NOUN,cabriola
prawn,B2,prawn,VERB,gamba
pray,A1,pray,VERB,orar
prayer,B1,prayer,NOUN,oración
precede,B2,precede,VERB,preceder
precious,B1,precious,ADJ,precioso
precise,A2,precise,ADJ,preciso
precisely,B2,precisely,ADV,precisamente
predicament,B2,predicament,NOUN,predicamento
predicate,B2,predicate,NOUN,predicado
predicative,B2,predicative,ADJ,predicativo
predict,A2,predict,VERB,predecir
predictable,B2,predictable,ADJ,previsible
prediction,A2,prediction,NOUN,predicción
predictive,B2,predictive,ADJ,profético
predictor,B2,predictor,NOUN,vaticinador
prefect,B2,prefect,NOUN,prefecto
prefer,A2,prefer,VERB,preferir
preferable,B2,preferable,ADJ,preferible
preferably,B2,preferably,ADV,preferiblemente
preference,B1,preference,NOUN,preferencia
prefix,B1,prefix,VERB,prefijo
pregnant,B1,pregnant,ADJ,embarazada
prehistoric,B2,prehistoric,ADJ,prehistórico
prehuman,B2,prehuman,PROPN,prehumano
preindustrial,B2,preindustrial,NOUN,preindustrial
prejudge,B2,prejudge,NOUN,prejuzgar
prejudice,B1,prejudice,NOUN,prejuicio
preliminary,B2,preliminary,ADJ,preliminar
preoccupy,B2,preoccupy,NOUN,preocupar
preparation,B1,preparation,NOUN,preparación
prepare,A2,prepare,VERB,preparar
prepared,B1,prepare,VERB,preparado
preposition,B1,preposition,NOUN,preposición
preschool,B1,preschool,ADJ,preescolar
prescribe,B2,prescribe,VERB,prescribir
prescription,B1,prescription,NOUN,prescripción
presence,B1,presence,NOUN,presencia
present,B1,present,ADJ,presente
present,A1,present,ADJ,presente
present,B2,present,ADJ,presente
presentation,B1,presentation,NOUN,presentación
presenter,B2,presenter,NOUN,presentador
preservation,B1,preservation,NOUN,preservación
preserve,B1,preserve,VERB,preservar
presidency,B2,presidency,NOUN,presidencia
president,B1,president,NOUN,presidente
presidential,B2,presidential,ADJ,presidencial
press,B1,press,NOUN,prensa
press,B1,press,NOUN,prensa
pressure,A2,pressure,NOUN,presión
prestige,B2,prestige,NOUN,prestigio
prestigious,B2,prestigious,ADJ,prestigioso
presumably,B2,presumably,ADV,presumiblemente
pretend,B2,pretend,VERB,pretender
pretend,A2,pretend,VERB,pretender
pretty,A1,pretty,ADV,bonito
pretty,A2,pretty,ADV,bonito
prevail,B2,prevail,VERB,prevalecer
prevent,A2,prevent,VERB,prevenir
prevention,B2,prevention,NOUN,prevención
preventive,B2,preventive,ADJ,preventivo
previous,B1,previous,ADJ,anterior
previously,B2,previously,ADV,previamente
price,A1,price,NOUN,precio
price,B2,price,NOUN,precio
priceless,B2,priceless,ADJ,inestimable
prick,B2,prick,VERB,pinchazo
pride,A2,pride,NOUN,orgullo
priest,B1,priest,PROPN,sacerdote
primarily,B1,primarily,ADV,ante todo
primary,B2,primary,ADJ,primario
primary school,B1,primary,ADJ,escuela primaria
prime,B2,prime,PROPN,principal
prime minister,B2,prime,PROPN,Primer ministro
primitive,B1,primitive,ADJ,primitivo
prince,A1,prince,PROPN,príncipe
princess,A1,princess,NOUN,princesa
principal,A2,principal,NOUN,principal
principal,B2,principal,NOUN,principal
principle,B1,principle,NOUN,principio
print,B1,print,NOUN,imprimir
print,A2,print,NOUN,imprimir
printer,A2,printer,NOUN,impresora
prior,B2,prior,ADV,previo
priority,B2,priority,NOUN,prioridad
prison,B1,prison,NOUN,prisión
prisoner,B1,prisoner,PROPN,prisionero
privacy,B1,privacy,NOUN,privacidad
private,A2,private,ADJ,privado
privately,B2,privately,ADV,en privado
privilege,B2,privilege,NOUN,privilegio
prize,B1,prize,NOUN,premio
pro,A2,pro,ADJ,pro
probability,B1,probability,NOUN,probabilidad
probable,B2,probable,ADJ,probable
probably,A2,probably,ADV,probablemente
probe,B2,probe,NOUN,sonda
problem,A1,problem,NOUN,problema
procedure,B2,procedure,NOUN,procedimiento
proceed,B1,proceed,VERB,proceder
process,B1,process,NOUN,proceso
process,B2,process,NOUN,proceso
proclaim,B1,proclaim,VERB,proclamar
procrastination,B1,procrastination,NOUN,dilación
produce,A2,produce,VERB,producir
producer,B1,producer,NOUN,productor
product,A2,product,NOUN,producto
production,A2,production,NOUN,producción
productive,B1,productive,ADJ,productivo
profession,B1,profession,NOUN,profesión
professional,A2,professional,ADJ,profesional
professional,B2,professional,ADJ,profesional
professor,B1,professor,PROPN,profesor
profile,B2,profile,VERB,perfil
profit,B2,profit,NOUN,ganancia
profitable,B2,profitable,ADJ,rentable
program/programme,A1,program,NOUN,programa/programa
program/programme,B1,program,NOUN,programa/programa
programmer,B2,programmer,NOUN,programador
programming,B2,programming,NOUN,programación
progress,B1,progress,VERB,progreso
progress,B2,progress,VERB,progreso
progressive,A2,progressive,ADJ,progresivo
prohibit,B2,prohibit,NOUN,prohibir
prohibition,B1,prohibition,NOUN,prohibición
project,B2,project,NOUN,proyecto
project,B2,project,NOUN,proyecto
projection,B2,projection,NOUN,proyección
prom,B2,prom,PROPN,paseo
prominence,B2,prominence,NOUN,prominencia
prominent,B1,prominent,PROPN,prominente
promise,A2,promise,NOUN,promesa
promise,B1,promise,NOUN,promesa
promote,B1,promote,VERB,promover
promotion,B1,promotion,NOUN,promoción
prompt,B2,prompt,ADJ,inmediato
prompt,B2,prompt,ADJ,inmediato
prompt,B2,prompt,ADJ,inmediato
promptly,B2,promptly,ADV,inmediatamente
pronoun,B1,pronoun,VERB,pronombre
pronounce,A2,pronounce,NOUN,pronunciar
pronunciation,A2,pronunciation,NOUN,pronunciación
proof,B1,proof,NOUN,prueba
proper,A2,proper,ADJ,adecuado
properly,B1,properly,ADV,adecuadamente
property,B1,property,NOUN,propiedad
proponent,B2,proponent,NOUN,proponente
proportion,B1,proportion,NOUN,proporción
proposal,B1,proposal,NOUN,propuesta
propose,B1,propose,VERB,proponer
proposed,B2,propose,VERB,propuesto
prose,B2,prose,VERB,prosa
prosecute,B2,prosecute,VERB,enjuiciar
prospect,B2,prospect,NOUN,prospecto
prosper,B2,prosper,VERB,prosperar
prosperity,B1,prosperity,NOUN,prosperidad
prosperous,B1,prosperous,ADJ,próspero
protect,B1,protect,VERB,proteger
protection,B1,protection,NOUN,protección
protective,B1,protective,ADJ,protector
protest,B1,protest,NOUN,protesta
protest,B2,protest,NOUN,protesta
proud,B1,proud,ADJ,orgulloso
proudly,B2,proudly,ADV,orgullosamente
prove,B1,prove,VERB,probar
proven,B2,prove,VERB,probado
proverb,B1,proverb,NOUN,proverbio
provide,A2,provide,VERB,proporcionar
provided,B1,provide,VERB,proporcionó
province,B2,province,PROPN,provincia
provision,B2,provision,NOUN,disposición
proximity,B2,proximity,NOUN,proximidad
psychological,B1,psychological,ADJ,psicológico
psychologically,B2,psychologically,ADV,psicológicamente
psychologist,A2,psychologist,NOUN,psicólogo
psychology,B2,psychology,NOUN,psicología
pub,B1,pub,NOUN,pub
public,B1,public,NOUN,público
public,A2,public,NOUN,público
public transport,B1,public,ADJ,transporte público
publication,B2,publication,NOUN,publicación
publicity,B2,publicity,NOUN,publicidad
publicize/publicise,B2,publicize,AUX,publicitar / publicitar
publicly,B1,publicly,ADV,en público
publish,A2,publish,VERB,publicar
publisher,B1,publisher,NOUN,editor
pudding,B2,pudding,NOUN,pudín
pull,A2,pull,VERB,jalar
pullover,B1,pullover,NOUN,pull-over
pulse,B2,pulse,NOUN,legumbres
pump,B1,pump,VERB,bomba
pumpkin,B2,pumpkin,VERB,calabaza
punch,B2,punch,VERB,puñetazo
punch,B2,punch,VERB,puñetazo
punctual,B2,punctual,PROPN,puntual
punctuality,B2,punctuality,NOUN,puntualidad
punctuation,A2,punctuation,NOUN,puntuación
punish,B1,punish,VERB,castigar
punishment,B1,punishment,NOUN,castigo
pupil,B1,pupil,NOUN,alumno
puppy,B1,puppy,PROPN,cachorro
purchase,B2,purchase,NOUN,compra
purchase,B2,purchase,NOUN,compra
pure,B1,pure,ADJ,puro
purify,B1,purify,VERB,purificar
purple,A2,purple,NOUN,púrpura
purple,A1,purple,NOUN,púrpura
purpose,A2,purpose,NOUN,objetivo
purposeful,B2,purposeful,ADJ,útil
purse,B1,purse,NOUN,cartera
pursue,A2,pursue,VERB,buscar
pursuit,B2,pursuit,NOUN,buscar
push,B1,push,VERB,empujar
push,A1,push,VERB,empujar
put,A1,put,VERB,poner
puzzle,B1,puzzle,NOUN,rompecabezas
puzzled,B2,puzzle,VERB,perplejo
quake,B1,quake,NOUN,terremoto
qualification,B2,qualification,NOUN,calificación
qualified,B1,qualify,VERB,calificado
qualify,B1,qualify,VERB,calificar
quality,B1,quality,NOUN,calidad
quality,A2,quality,NOUN,calidad
quantify,B2,quantify,VERB,cuantificar
quantity,B1,quantity,NOUN,cantidad
quarantine,B2,quarantine,NOUN,cuarentena
quarrel,B2,quarrel,NOUN,disputa
quarrel,B2,quarrel,NOUN,disputa
quarrelsome,B2,quarrelsome,PROPN,peleón
quarter,A1,quarter,NOUN,cuarto
queen,A2,queen,PROPN,reina
queer,B2,queer,NOUN,queer
query,B2,query,NOUN,consulta
question,A1,question,NOUN,pregunta
question,B2,question,NOUN,pregunta
question mark,B1,question,NOUN,signo de interrogación
questionnaire,B1,questionnaire,NOUN,cuestionario
queue,B1,queue,NOUN,cola
queue,B2,queue,NOUN,cola
quick,A2,quick,ADJ,rápido
quickly,A1,quickly,ADV,rápidamente
quiet,A1,quiet,ADJ,tranquilo
quiet,B2,quiet,ADJ,tranquilo
quietly,A2,quietly,ADV,en silencio
quit,B2,quit,VERB,abandonar
quit,A2,quit,VERB,abandonar
quite,A2,quite,ADV,bastante
quiz,A2,quiz,NOUN,prueba
quotable,B2,quotable,ADJ,citable
quotation,B2,quotation,NOUN,cotización
quote,B2,quote,INTJ,cita
quote,B2,quote,INTJ,cita
rabbit,A1,rabbit,NOUN,conejo
race,B1,race,NOUN,carrera
race,B1,race,NOUN,carrera
racial,B1,racial,ADJ,racial
racism,B2,racism,NOUN,racismo
racist,B2,racist,NOUN,racista
rack,B2,rack,VERB,estante
racket,A2,racket,NOUN,raqueta
radar,B2,radar,NOUN,Radar
radiate,B2,radiate,VERB,irradiar
radiation,B1,radiation,NOUN,radiación
radical,B2,radical,ADJ,radical
radically,B2,radically,ADV,radicalmente
radio,A1,radio,NOUN,radio
radium,B2,radium,PROPN,radio
rafter,B2,rafter,PROPN,viga
rag,B2,rag,PROPN,trapo
rage,B1,rage,NOUN,furia
rail,B1,rail,NOUN,carril
railroad,B1,railroad,NOUN,ferrocarril
railway,B1,railway,NOUN,ferrocarril
rain,A1,rain,NOUN,lluvia
rain,A1,rain,NOUN,lluvia
rainbow,B2,rainbow,NOUN,arcoíris
raincoat,A2,raincoat,NOUN,impermeable
rainfall,B1,rainfall,NOUN,lluvia
rainforest,B1,rainforest,NOUN,selva tropical
rainstorm,B2,rainstorm,VERB,tormenta
rainy,A1,rainy,PROPN,lluvioso
raise,A2,raise,VERB,aumentar
rally,B2,rally,NOUN,reunión
ram,B2,ram,VERB,RAM
ramp,B2,ramp,NOUN,rampa
range,A2,range,NOUN,rango
range,B2,range,NOUN,rango
ranger,B2,ranger,NOUN,guardabosque
rank,B1,rank,NOUN,rango
rap,A2,rap,NOUN,rap
rap,B1,rap,NOUN,rap
rape,B2,rape,NOUN,violación
rape,B2,rape,NOUN,violación
rapid,B1,rapid,ADJ,rápido
rapidly,B1,rapidly,ADV,rápidamente
rare,B1,rare,ADJ,extraño
rarely,B1,rarely,ADV,casi nunca
rash,B2,rash,ADJ,erupción
raspberry,B1,raspberry,NOUN,frambuesa
rat,A1,rat,VERB,rata
rate,A2,rate,NOUN,tasa
rate,B2,rate,NOUN,tasa
rather,A2,rather,ADV,bastante
rating,A2,rating,NOUN,clasificación
ration,B1,ration,NOUN,racionar
rational,B1,rational,PROPN,racional
rattle,B2,rattle,VERB,traqueteo
ravage,B2,ravage,NOUN,estrago
raw,A2,raw,ADJ,crudo
ray,A2,ray,PROPN,rayo
razor,B1,razor,NOUN,navaja
're,A1,be,AUX,'re
reach,B1,reach,VERB,alcanzar
reach,A2,reach,VERB,alcanzar
react,B1,react,VERB,reaccionar
reaction,B2,reaction,NOUN,reacción
read,A1,read,VERB,leer
reader,A1,reader,NOUN,lector
readily,B2,readily,ADV,fácilmente
reading,A1,read,VERB,lectura
ready,A1,ready,ADJ,listo
real,A1,real,ADJ,real
real,A1,real,ADJ,real
real estate,B2,real,ADJ,bienes raíces
realistic,B1,realistic,ADJ,realista
reality,B1,reality,NOUN,realidad
realization/realisation,B2,realization,NOUN,realización/realización
realize/realise,A2,realize,VERB,darse cuenta/darse cuenta
really,A1,really,ADV,en realidad
rear,B2,rear,NOUN,trasero
rearrange,B1,rearrange,VERB,arreglar de nuevo
reason,A1,reason,NOUN,razón
reasonable,B1,reasonable,ADJ,razonable
reasonably,B2,reasonably,ADV,razonablemente
rebel,B2,rebel,NOUN,rebelde
rebel,B2,rebel,NOUN,rebelde
rebellious,B2,rebellious,ADJ,rebelde
rebuild,B1,rebuild,VERB,reconstruir
recall,B1,recall,VERB,recordar
receipt,A2,receipt,NOUN,recibo
receive,A2,receive,VERB,recibir
recent,A2,recent,ADJ,reciente
recently,A2,recently,ADV,recientemente
reception,B1,reception,NOUN,recepción
receptionist,A2,receptionist,NOUN,recepcionista
recession,B2,recession,NOUN,recesión
recipe,B2,recipe,VERB,receta
recite,B1,recite,VERB,recitar
reckon,B2,reckon,VERB,contar
reclaim,B1,reclaim,VERB,reclamar
recognition,B2,recognition,NOUN,reconocimiento
recognize/recognise,B1,recognize,NOUN,reconocer/reconocer
recollect,B2,recollect,NOUN,recordar
recollection,B2,recollection,NOUN,recuerdo
recommend,B1,recommend,VERB,recomendar
recommendable,B2,recommendable,ADJ,recomendable
recommendation,B2,recommendation,NOUN,recomendación
reconsider,B2,reconsider,NOUN,reconsiderar
record,B1,record,PROPN,registro
record,A2,record,PROPN,registro
recording,B1,record,VERB,grabación
recover,B1,recover,VERB,recuperar
recovery,B1,recovery,NOUN,recuperación
recreation,B2,recreation,NOUN,recreación
recruit,B2,recruit,NOUN,recluta
rectangular,B2,rectangular,PROPN,rectangular
recycle,A2,recycle,NOUN,reciclar
recycled,B1,recycle,VERB,reciclado
recycling,B1,recycle,VERB,reciclaje
red,A1,red,ADJ,rojo
red,A2,red,ADJ,rojo
redo,B2,redo,NOUN,rehacer
reduce,B1,reduce,VERB,reducir
reduction,B1,reduction,NOUN,reducción
redundant,B2,redundant,ADJ,redundante
reed,B2,reed,PROPN,caña
reef,B1,reef,NOUN,arrecife
refer,A2,refer,VERB,referirse
referee,B1,referee,NOUN,árbitro
reference,B2,reference,NOUN,referencia
referent,B2,referent,NOUN,referente
refinery,B2,refinery,NOUN,refinería
reflect,A2,reflect,VERB,reflejar
reflection,B1,reflection,NOUN,reflexión
reflective,B2,reflective,ADJ,pensativo
reform,B2,reform,NOUN,reforma
refrain,B2,refrain,VERB,abstenerse
refresh,B2,refresh,PROPN,refrescar
refreshments,B1,refreshment,NOUN,refrescos
refrigerator,A2,refrigerator,NOUN,refrigerador
refuge,B2,refuge,NOUN,refugio
refugee,B2,refugee,NOUN,refugiado
refund,B1,refund,NOUN,reembolso
refusal,B1,refusal,NOUN,negativa
refuse,B1,refuse,VERB,rechazar
refuse,B1,refuse,VERB,rechazar
refute,B2,refute,ADJ,refutar
regain,B1,regain,VERB,recuperar
regard,B2,regard,VERB,respecto
regard,B1,regard,VERB,respecto
regarding,B1,regard,VERB,acerca de
regardless,B2,regardless,ADV,a pesar de todo
reggae,B2,reggae,PROPN,reggae
regime,B2,regime,NOUN,régimen
region,B1,region,NOUN,región
regional,B1,regional,ADJ,regional
register,B1,register,VERB,registro
register,B1,register,VERB,registro
registration,B1,registration,NOUN,registro
regret,B2,regret,NOUN,arrepentirse
regret,A2,regret,NOUN,arrepentirse
regrettably,B2,regrettably,ADV,lamentablemente
regular,A2,regular,ADJ,regular
regularly,A2,regularly,ADV,regularmente
regulate,B2,regulate,VERB,regular
regulation,B1,regulation,NOUN,regulación
rehearsal,B2,rehearsal,NOUN,ensayo
reinforce,B2,reinforce,VERB,reforzarse
reinforcement,B2,reinforcement,NOUN,reforzamiento
reject,B1,reject,VERB,rechazar
rejection,B2,rejection,NOUN,rechazo
rejoin,B2,rejoin,VERB,reunirse con
relate,B1,relate,VERB,relatar
related,B2,relate,VERB,relacionado
relation,B1,relation,NOUN,relación
relationship,B1,relationship,NOUN,relación
relative,B1,relative,ADJ,relativo
relative,B1,relative,ADJ,relativo
relatively,B1,relatively,ADV,relativamente
relativity,B2,relativity,NOUN,relatividad
relax,A2,relax,VERB,relajarse
relaxation,B2,relaxation,NOUN,relajación
relaxed,A2,relax,VERB,relajado
relaxing,B1,relax,VERB,relajante
relay,B2,relay,NOUN,relé
release,A2,release,NOUN,liberar
release,B1,release,NOUN,liberar
relevant,B2,relevant,ADJ,importante
reliable,B1,reliable,ADJ,confiable
relic,B2,relic,NOUN,reliquia
relief,B2,relief,NOUN,alivio
relieve,B2,relieve,VERB,aliviar
relieved,B2,relieve,VERB,aliviado
religion,B1,religion,NOUN,religión
religious,B1,religious,ADJ,religioso
